Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate
Males,All Races,Alabama,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,149939,.
Females,All Races,Alabama,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,144373,.
,All Races,Alabama,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,294312,.
Males,All Races,Alaska,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,28369,.
Females,All Races,Alaska,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,26751,.
,All Races,Alaska,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,55120,.
Males,All Races,Arizona,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,220851,.
Females,All Races,Arizona,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,211769,.
,All Races,Arizona,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,432620,.
Males,All Races,Arkansas,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,98219,.
Females,All Races,Arkansas,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,93572,.
,All Races,Arkansas,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,191791,.
Males,All Races,California,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,1276356,.
Females,All Races,California,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,1222338,.
,All Races,California,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,2498694,.
Males,All Races,Colorado,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,171819,.
Females,All Races,Colorado,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,163314,.
,All Races,Colorado,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,335133,.
Males,All Races,Connecticut,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,97379,.
Females,All Races,Connecticut,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,93586,.
,All Races,Connecticut,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,190965,.
Males,All Races,Delaware,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,28459,.
Females,All Races,Delaware,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,27167,.
,All Races,Delaware,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,55626,.
Males,All Races,District of Columbia,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,20857,.
Females,All Races,District of Columbia,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,20079,.
,All Races,District of Columbia,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,40936,.
Males,All Races,Florida,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,548503,.
Females,All Races,Florida,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,525297,.
,All Races,Florida,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,1073800,.
Males,All Races,Georgia,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,337232,.
Females,All Races,Georgia,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,324889,.
,All Races,Georgia,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,662121,.
Males,All Races,Hawaii,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,47198,.
Females,All Races,Hawaii,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,44691,.
,All Races,Hawaii,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,91889,.
Males,All Races,Idaho,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,58253,.
Females,All Races,Idaho,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,56377,.
,All Races,Idaho,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,114630,.
Males,All Races,Illinois,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,407970,.
Females,All Races,Illinois,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,390602,.
,All Races,Illinois,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,798572,.
Males,All Races,Indiana,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,215368,.
Females,All Races,Indiana,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,205752,.
,All Races,Indiana,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,421120,.
Males,All Races,Iowa,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,100289,.
Females,All Races,Iowa,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,95980,.
,All Races,Iowa,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,196269,.
Males,All Races,Kansas,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,102595,.
Females,All Races,Kansas,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,98004,.
,All Races,Kansas,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,200599,.
Males,All Races,Kentucky,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,141734,.
Females,All Races,Kentucky,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,134397,.
,All Races,Kentucky,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,276131,.
Males,All Races,Louisiana,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,157311,.
Females,All Races,Louisiana,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,150945,.
,All Races,Louisiana,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,308256,.
Males,All Races,Maine,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,33847,.
Females,All Races,Maine,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,31915,.
,All Races,Maine,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,65762,.
Males,All Races,Maryland,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,186785,.
Females,All Races,Maryland,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,179327,.
,All Races,Maryland,Both,00-04 yrs,2013,2013,Suicide Injury,2013,P,366112,.
