"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Males","All Races","Alabama","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","149475","."
"Females","All Races","Alabama","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","144376","."
"","All Races","Alabama","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","293851","."
"Males","All Races","Alaska","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","28522","."
"Females","All Races","Alaska","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","26721","."
"","All Races","Alaska","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","55243","."
"Males","All Races","Arizona","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","219144","."
"Females","All Races","Arizona","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","209577","."
"","All Races","Arizona","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","428721","."
"Males","All Races","Arkansas","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","97897","."
"Females","All Races","Arkansas","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","93286","."
"","All Races","Arkansas","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","191183","."
"Males","All Races","California","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","1279457","."
"Females","All Races","California","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","1224071","."
"","All Races","California","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","2503528","."
"Males","All Races","Colorado","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","172329","."
"Females","All Races","Colorado","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","162371","."
"","All Races","Colorado","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","334700","."
"Males","All Races","Connecticut","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","96323","."
"Females","All Races","Connecticut","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","92734","."
"","All Races","Connecticut","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","189057","."
"Males","All Races","Delaware","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","28390","."
"Females","All Races","Delaware","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","27478","."
"","All Races","Delaware","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","55868","."
"Males","All Races","District of Columbia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","21708","."
"Females","All Races","District of Columbia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","20901","."
"","All Races","District of Columbia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","42609","."
"Males","All Races","Florida","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","554296","."
"Females","All Races","Florida","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","531273","."
"","All Races","Florida","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","1085569","."
"Males","All Races","Georgia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","336950","."
"Females","All Races","Georgia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","324574","."
"","All Races","Georgia","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","661524","."
"Males","All Races","Hawaii","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","46996","."
"Females","All Races","Hawaii","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","44558","."
"","All Races","Hawaii","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","91554","."
"Males","All Races","Idaho","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","57535","."
"Females","All Races","Idaho","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","55973","."
"","All Races","Idaho","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","113508","."
"Males","All Races","Illinois","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","403760","."
"Females","All Races","Illinois","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","388000","."
"","All Races","Illinois","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","791760","."
"Males","All Races","Indiana","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","215206","."
"Females","All Races","Indiana","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","204465","."
"","All Races","Indiana","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","419671","."
"Males","All Races","Iowa","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","100416","."
"Females","All Races","Iowa","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","96120","."
"","All Races","Iowa","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","196536","."
"Males","All Races","Kansas","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","102041","."
"Females","All Races","Kansas","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","96947","."
"","All Races","Kansas","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","198988","."
"Males","All Races","Kentucky","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","142436","."
"Females","All Races","Kentucky","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","134383","."
"","All Races","Kentucky","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","276819","."
"Males","All Races","Louisiana","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","157509","."
"Females","All Races","Louisiana","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","151704","."
"","All Races","Louisiana","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","309213","."
"Males","All Races","Maine","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","33506","."
"Females","All Races","Maine","Both","00-04 yrs","2014","2014","Suicide Injury","2014","P","31550","."
