Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate
Males,All Races,Alabama,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,155266,.
Females,All Races,Alabama,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,149692,.
,All Races,Alabama,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,304958,.
Males,All Races,Alaska,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,27896,.
Females,All Races,Alaska,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,26100,.
,All Races,Alaska,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,53996,.
Males,All Races,Arizona,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,232562,.
Females,All Races,Arizona,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,223153,.
,All Races,Arizona,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,455715,.
Males,All Races,Arkansas,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,100950,.
Females,All Races,Arkansas,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,96739,.
,All Races,Arkansas,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,197689,.
Males,All Races,California,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,1294056,.
Females,All Races,California,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,1237277,.
,All Races,California,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,2531333,.
Males,All Races,Colorado,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,176361,.
Females,All Races,Colorado,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,167599,.
,All Races,Colorado,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,343960,.
Males,All Races,Connecticut,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,103475,.
Females,All Races,Connecticut,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,98631,.
,All Races,Connecticut,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,202106,.
Males,All Races,Delaware,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,28415,.
Females,All Races,Delaware,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,27471,.
,All Races,Delaware,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,55886,.
Males,All Races,District of Columbia,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,16533,.
Females,All Races,District of Columbia,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,16080,.
,All Races,District of Columbia,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,32613,.
Males,All Races,Florida,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,547985,.
Females,All Races,Florida,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,525523,.
,All Races,Florida,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,1073508,.
Males,All Races,Georgia,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,350673,.
Females,All Races,Georgia,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,336112,.
,All Races,Georgia,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,686785,.
Males,All Races,Hawaii,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,45019,.
Females,All Races,Hawaii,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,42388,.
,All Races,Hawaii,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,87407,.
Males,All Races,Idaho,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,62468,.
Females,All Races,Idaho,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,59304,.
,All Races,Idaho,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,121772,.
Males,All Races,Illinois,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,425893,.
Females,All Races,Illinois,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,409684,.
,All Races,Illinois,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,835577,.
Males,All Races,Indiana,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,221819,.
Females,All Races,Indiana,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,212256,.
,All Races,Indiana,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,434075,.
Males,All Races,Iowa,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,103401,.
Females,All Races,Iowa,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,98722,.
,All Races,Iowa,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,202123,.
Males,All Races,Kansas,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,104888,.
Females,All Races,Kansas,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,100604,.
,All Races,Kansas,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,205492,.
Males,All Races,Kentucky,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,144178,.
Females,All Races,Kentucky,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,138186,.
,All Races,Kentucky,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,282364,.
Males,All Races,Louisiana,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,160136,.
Females,All Races,Louisiana,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,154124,.
,All Races,Louisiana,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,314260,.
Males,All Races,Maine,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,35767,.
Females,All Races,Maine,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,33753,.
,All Races,Maine,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,69520,.
Males,All Races,Maryland,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,185916,.
Females,All Races,Maryland,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,178572,.
,All Races,Maryland,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,364488,.
Males,All Races,Massachusetts,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,187605,.
Females,All Races,Massachusetts,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,179482,.
,All Races,Massachusetts,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,367087,.
Males,All Races,Michigan,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,304587,.
Females,All Races,Michigan,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,291699,.
,All Races,Michigan,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,596286,.
Males,All Races,Minnesota,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,181342,.
Females,All Races,Minnesota,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,174162,.
,All Races,Minnesota,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,355504,.
Males,All Races,Mississippi,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,107464,.
Females,All Races,Mississippi,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,103491,.
,All Races,Mississippi,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,210955,.
Males,All Races,Missouri,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,199528,.
Females,All Races,Missouri,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,190709,.
,All Races,Missouri,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,390237,.
Males,All Races,Montana,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,32129,.
Females,All Races,Montana,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,30294,.
,All Races,Montana,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,62423,.
Males,All Races,Nebraska,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,67630,.
Females,All Races,Nebraska,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,64278,.
,All Races,Nebraska,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,131908,.
Males,All Races,Nevada,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,95772,.
Females,All Races,Nevada,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,91706,.
,All Races,Nevada,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,187478,.
Males,All Races,New Hampshire,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,35586,.
Females,All Races,New Hampshire,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,34220,.
,All Races,New Hampshire,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,69806,.
Males,All Races,New Jersey,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,276269,.
Females,All Races,New Jersey,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,264751,.
,All Races,New Jersey,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,541020,.
Males,All Races,New Mexico,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,74078,.
Females,All Races,New Mexico,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,70903,.
,All Races,New Mexico,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,144981,.
Males,All Races,New York,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,590879,.
Females,All Races,New York,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,564943,.
,All Races,New York,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,1155822,.
Males,All Races,North Carolina,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,322871,.
Females,All Races,North Carolina,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,309168,.
,All Races,North Carolina,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,632039,.
Males,All Races,North Dakota,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,22821,.
Females,All Races,North Dakota,Both,00-04 yrs,2010,2010,Suicide Injury,2010,P,21774,.
